epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2971.48,0.83174,0.28777,2.04151,1.21399,0.21177,0.35425,0.34545,0.21366,0.21177,0.35425,0.34765,0.21243,1.08356,0.24803,2.49251,1.37864,0.00040505,0.00040505,0.00040505
30,3081.34,0.7773,0.278,2.03814,1.18256,0.25955,0.39579,0.33414,0.20679,0.25955,0.39579,0.33455,0.20543,1.00588,0.27097,2.45439,1.29409,0.000387052,0.000387052,0.000387052
31,3186.12,0.84197,0.28023,2.01182,1.18519,0.21007,0.44609,0.31607,0.21205,0.21007,0.44609,0.31355,0.20782,0.96413,0.24193,2.31836,1.28777,0.000369054,0.000369054,0.000369054
32,3292.05,0.79041,0.28046,1.98234,1.18962,0.17145,0.48409,0.33865,0.21525,0.17145,0.48409,0.33865,0.21258,0.89745,0.22353,2.29763,1.21577,0.000351056,0.000351056,0.000351056
33,3395.27,0.78405,0.29106,2.02354,1.20958,0.21786,0.4485,0.35658,0.24579,0.21786,0.4485,0.35866,0.23785,0.8524,0.22452,2.30988,1.18085,0.000333058,0.000333058,0.000333058
34,3493.94,0.79151,0.27652,1.94667,1.1785,0.22122,0.43678,0.38074,0.27736,0.19834,0.3963,0.36712,0.26209,0.81726,0.23269,2.34897,1.16883,0.000315059,0.000315059,0.000315059
35,3593.23,0.80402,0.26792,1.96762,1.19365,0.44806,0.45484,0.3877,0.27044,0.44806,0.45484,0.38858,0.26634,0.90014,0.24255,2.43871,1.21133,0.000297061,0.000297061,0.000297061
36,3691.84,0.81829,0.29175,2.02943,1.20523,0.2346,0.44271,0.37178,0.25129,0.2346,0.44271,0.37178,0.2461,0.87577,0.22386,2.43742,1.21633,0.000279063,0.000279063,0.000279063
37,3790.32,0.80006,0.31148,1.94806,1.20159,0.27671,0.45625,0.35753,0.23418,0.27671,0.45625,0.3565,0.22989,0.95158,0.21513,2.40692,1.24617,0.000261065,0.000261065,0.000261065
38,3889.08,0.75518,0.29158,1.91769,1.18395,0.29574,0.52601,0.38959,0.25183,0.29438,0.51228,0.3882,0.24667,0.98313,0.21511,2.35263,1.28345,0.000243067,0.000243067,0.000243067
